type,body,option_a,option_b,option_c,option_d,correct,points,explanation
single_choice,"Jak se nazývá počet obyvatel na km²?","Porodnost","Hustota zalidnění","Migrace","Urbanizace","b",1,"Hustota zalidnění vyjadřuje počet obyvatel na km²."
multiple_choice,"Které patří mezi přírodní vlivy rozmístění obyvatelstva?","Podnebí","Vzdálenost od moře","Nadmořská výška","Vegetace a půda","a,b,c,d",2,"Rozmístění obyvatel ovlivňují i přírodní podmínky."
multiple_choice,"Které patří mezi socioekonomické vlivy rozmístění obyvatelstva?","Těžba nerostných surovin","Hospodářská vyspělost","Infrastruktura","Dostupnost služeb","a,b,c,d",2,"Socioekonomické vlivy zahrnují i těžbu, vyspělost, infrastrukturu a služby."
single_choice,"Jak se nazývá přesun lidí z venkova do měst a šíření městského způsobu života?","Suburbanizace","Urbanizace","Deurbanizace","Emigrace","b",1,"Urbanizace znamená přesun lidí z venkova do měst."
single_choice,"Jak se nazývá přesun obyvatel a funkcí z jádra města do příměstských obcí?","Aglomerace","Konurbace","Suburbanizace","Megalopolis","c",1,"Suburbanizace je přesun do zázemí města."
single_choice,"Jak se nazývá souvislá městská oblast vzniklá srostem více rovnocenných měst bez hlavního jádra?","Aglomerace","Konurbace","Osada","Sídliště","b",1,"Konurbace je srost více rovnocenných měst."
single_choice,"Co je stát?","Pouze území bez obyvatel","Forma politické organizace na určitém území s vládou, zákony a obyvatelstvem","Skupina lidí bez hranic","Jen hlavní město","b",1,"Stát je forma politické organizace s územím, obyvatelstvem a mocí."
multiple_choice,"Které patří mezi klíčové znaky státu?","Území","Obyvatelstvo","Moc","Právní systém","a,b,c,d",2,"Mezi klíčové znaky státu patří území, obyvatelstvo, moc a právní systém."
single_choice,"Která z uvedených možností je typ hranice?","Přírodní","Městská","Kulturní","Jazyková","a",1,"V učivu jsou uvedeny přírodní, umělé a sporné hranice."
multiple_choice,"Co většinou řeší politické organizace?","Spolupráci mezi státy","Dodržování práva a lidských práv","Diplomacii","Ekonomiku","a,b,c,d",2,"Politické organizace řeší spolupráci, diplomacii, právo i ekonomické otázky."
single_choice,"Která organizace je příkladem vojenské organizace?","UNESCO","WHO","NATO","UNICEF","c",1,"NATO je vojenská a obranná organizace."
single_choice,"Kdy vznikla OSN?","1918","1945","1949","1961","b",1,"OSN vznikla v roce 1945 po 2. světové válce."
single_choice,"Která organizace je známá seznamem světového dědictví?","UNICEF","WHO","UNESCO","FAO","c",1,"UNESCO vede seznam světového dědictví."
single_choice,"Která organizace je zaměřená na ochranu zdraví lidí ve světě?","WHO","OECD","Greenpeace","OAS","a",1,"WHO je Světová zdravotnická organizace."
single_choice,"Která organizace je nevládní a zaměřuje se na ochranu životního prostředí?","UNESCO","Greenpeace","NATO","SNS","b",1,"Greenpeace je nevládní organizace na ochranu životního prostředí."
single_choice,"Která organizace chrání lidská práva a používá logo svíčky obtočené ostnatým drátem?","Amnesty International","Červený kříž","FAO","LAS","a",1,"Amnesty International se zaměřuje na lidská práva."
single_choice,"Který hospodářský sektor je primární?","Průmysl","Služby","Získávání surovin a prvovýroba","Věda a výzkum","c",1,"Primární sektor zahrnuje prvovýrobu a získávání surovin."
single_choice,"Co patří do sekundárního sektoru?","Rybolov","Stavebnictví","Školství","Vysoké školství","b",1,"Sekundární sektor zahrnuje průmysl a stavebnictví."
multiple_choice,"Které činnosti patří do terciárního sektoru?","Osobní doprava","Školství","Zdravotnictví","Těžební průmysl","a,b,c",2,"Terciární sektor tvoří služby, například doprava, školství a zdravotnictví."
single_choice,"Co je cílem zemědělství?","Vyrábět jen stroje","Zajišťovat obživu pro lidi, krmivo a suroviny k dalšímu zpracování","Pouze stavět silnice","Jen těžit suroviny","b",1,"Zemědělství zajišťuje potravu, krmivo i suroviny."
multiple_choice,"Které faktory ovlivňují úroveň zemědělské výroby?","Poloha","Úrodnost půdy","Hospodářská vyspělost státu","Technická úroveň a mechanizace","a,b,c,d",2,"Úroveň zemědělství ovlivňují přírodní i hospodářské faktory."
single_choice,"Kolik obyvatel přibližně zaměstnává zemědělství v hospodářsky vyspělých oblastech podle učiva?","Asi 10 % kvalifikovaných obyvatel","Asi 60 % obyvatel","Asi 90 % obyvatel","Méně než 1 % obyvatel","a",1,"V hospodářsky vyspělých oblastech zaměstnává zemědělství asi 10 % kvalifikovaných obyvatel."
single_choice,"Kolik obyvatel přibližně zaměstnává zemědělství v hospodářsky málo rozvinutých oblastech podle učiva?","Asi 5 % obyvatel","Asi 10 % obyvatel","Asi 30 % obyvatel","Asi 60 % obyvatel","d",1,"V hospodářsky málo rozvinutých oblastech zaměstnává zemědělství asi 60 % obyvatel."
true_false,"EU je hlavně vojenská organizace.","true","false","","","false",1,"EU je hlavně politická a ekonomická organizace, ne vojenská."
true_false,"UNICEF je organizace zaměřená na pomoc dětem.","true","false","","","true",1,"UNICEF pomáhá dětem po celém světě."
true_false,"NATO funguje na principu společné obrany.","true","false","","","true",1,"Když je napaden jeden člen, ostatní mu mají pomoci."
short_answer,"Jak se nazývá přesun obyvatel a funkcí z jádra města do jeho zázemí?","suburbanizace","","","","a",1,"Správná odpověď je suburbanizace."
short_answer,"Jak se nazývá organizace OSN pro vzdělávání, vědu a kulturu?","UNESCO","","","","a",1,"Správná odpověď je UNESCO."
